repo,issue_id,issue_url,annotator_1_ob,annotator_1_eb,annotator_1_s2r,annotator_2_ob,annotator_2_eb,annotator_2_s2r,consensus_ob,consensus_eb,consensus_s2r,double_labeled,consensus_notes
"vscode","322377","https://github.com/microsoft/vscode/issues/322377","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","29147","https://github.com/scikit-learn/scikit-learn/issues/29147","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","318556","https://github.com/microsoft/vscode/issues/318556","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"vscode","320126","https://github.com/microsoft/vscode/issues/320126","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","TRUE",""
"pandas","63019","https://github.com/pandas-dev/pandas/issues/63019","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","64297","https://github.com/pandas-dev/pandas/issues/64297","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"scikit-learn","31149","https://github.com/scikit-learn/scikit-learn/issues/31149","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","31659","https://github.com/scikit-learn/scikit-learn/issues/31659","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","32090","https://github.com/scikit-learn/scikit-learn/issues/32090","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","320428","https://github.com/microsoft/vscode/issues/320428","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","TRUE",""
"pandas","63071","https://github.com/pandas-dev/pandas/issues/63071","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","31098","https://github.com/scikit-learn/scikit-learn/issues/31098","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","33342","https://github.com/scikit-learn/scikit-learn/issues/33342","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","33542","https://github.com/scikit-learn/scikit-learn/issues/33542","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","319934","https://github.com/microsoft/vscode/issues/319934","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","63581","https://github.com/pandas-dev/pandas/issues/63581","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","320462","https://github.com/microsoft/vscode/issues/320462","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"vscode","321779","https://github.com/microsoft/vscode/issues/321779","Sufficient","Missing","Missing","Sufficient","Missing","Missing","Sufficient","Missing","Missing","TRUE",""
"scikit-learn","29127","https://github.com/scikit-learn/scikit-learn/issues/29127","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","30832","https://github.com/scikit-learn/scikit-learn/issues/30832","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321632","https://github.com/microsoft/vscode/issues/321632","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","65237","https://github.com/pandas-dev/pandas/issues/65237","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","319944","https://github.com/microsoft/vscode/issues/319944","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","31093","https://github.com/scikit-learn/scikit-learn/issues/31093","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321794","https://github.com/microsoft/vscode/issues/321794","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"vscode","322051","https://github.com/microsoft/vscode/issues/322051","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"scikit-learn","31633","https://github.com/scikit-learn/scikit-learn/issues/31633","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"vscode","320928","https://github.com/microsoft/vscode/issues/320928","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","63518","https://github.com/pandas-dev/pandas/issues/63518","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321961","https://github.com/microsoft/vscode/issues/321961","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"pandas","64824","https://github.com/pandas-dev/pandas/issues/64824","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","30382","https://github.com/scikit-learn/scikit-learn/issues/30382","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","65458","https://github.com/pandas-dev/pandas/issues/65458","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","29989","https://github.com/scikit-learn/scikit-learn/issues/29989","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","320680","https://github.com/microsoft/vscode/issues/320680","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321616","https://github.com/microsoft/vscode/issues/321616","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"scikit-learn","32104","https://github.com/scikit-learn/scikit-learn/issues/32104","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321442","https://github.com/microsoft/vscode/issues/321442","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"pandas","64941","https://github.com/pandas-dev/pandas/issues/64941","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","30935","https://github.com/scikit-learn/scikit-learn/issues/30935","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","322280","https://github.com/microsoft/vscode/issues/322280","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","65833","https://github.com/pandas-dev/pandas/issues/65833","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","320442","https://github.com/microsoft/vscode/issues/320442","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"vscode","320231","https://github.com/microsoft/vscode/issues/320231","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"pandas","65710","https://github.com/pandas-dev/pandas/issues/65710","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","33113","https://github.com/scikit-learn/scikit-learn/issues/33113","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321823","https://github.com/microsoft/vscode/issues/321823","Sufficient","Missing","Missing","Sufficient","Missing","Missing","Sufficient","Missing","Missing","TRUE",""
"scikit-learn","30147","https://github.com/scikit-learn/scikit-learn/issues/30147","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","32718","https://github.com/scikit-learn/scikit-learn/issues/32718","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","28859","https://github.com/scikit-learn/scikit-learn/issues/28859","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","65892","https://github.com/pandas-dev/pandas/issues/65892","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","321055","https://github.com/microsoft/vscode/issues/321055","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"pandas","62990","https://github.com/pandas-dev/pandas/issues/62990","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","33002","https://github.com/scikit-learn/scikit-learn/issues/33002","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","323172","https://github.com/microsoft/vscode/issues/323172","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"scikit-learn","30310","https://github.com/scikit-learn/scikit-learn/issues/30310","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","320270","https://github.com/microsoft/vscode/issues/320270","Sufficient","Missing","Missing","Sufficient","Missing","Missing","Sufficient","Missing","Missing","TRUE",""
"scikit-learn","30413","https://github.com/scikit-learn/scikit-learn/issues/30413","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","323157","https://github.com/microsoft/vscode/issues/323157","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","Sufficient","Missing","Sufficient","TRUE",""
"scikit-learn","32707","https://github.com/scikit-learn/scikit-learn/issues/32707","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"vscode","320851","https://github.com/microsoft/vscode/issues/320851","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","28700","https://github.com/scikit-learn/scikit-learn/issues/28700","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"pandas","65065","https://github.com/pandas-dev/pandas/issues/65065","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","31604","https://github.com/scikit-learn/scikit-learn/issues/31604","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","29556","https://github.com/scikit-learn/scikit-learn/issues/29556","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","Sufficient","TRUE",""
"scikit-learn","31210","https://github.com/scikit-learn/scikit-learn/issues/31210","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","28389","https://github.com/scikit-learn/scikit-learn/issues/28389","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29137","https://github.com/scikit-learn/scikit-learn/issues/29137","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33830","https://github.com/scikit-learn/scikit-learn/issues/33830","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","31366","https://github.com/scikit-learn/scikit-learn/issues/31366","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65894","https://github.com/pandas-dev/pandas/issues/65894","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","28430","https://github.com/scikit-learn/scikit-learn/issues/28430","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","30762","https://github.com/scikit-learn/scikit-learn/issues/30762","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","321050","https://github.com/microsoft/vscode/issues/321050","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","319725","https://github.com/microsoft/vscode/issues/319725","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"scikit-learn","31635","https://github.com/scikit-learn/scikit-learn/issues/31635","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320066","https://github.com/microsoft/vscode/issues/320066","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319414","https://github.com/microsoft/vscode/issues/319414","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321805","https://github.com/microsoft/vscode/issues/321805","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"vscode","321952","https://github.com/microsoft/vscode/issues/321952","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"vscode","322343","https://github.com/microsoft/vscode/issues/322343","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"scikit-learn","29858","https://github.com/scikit-learn/scikit-learn/issues/29858","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65112","https://github.com/pandas-dev/pandas/issues/65112","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","28632","https://github.com/scikit-learn/scikit-learn/issues/28632","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","32961","https://github.com/scikit-learn/scikit-learn/issues/32961","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","33146","https://github.com/scikit-learn/scikit-learn/issues/33146","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","65483","https://github.com/pandas-dev/pandas/issues/65483","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33885","https://github.com/scikit-learn/scikit-learn/issues/33885","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322612","https://github.com/microsoft/vscode/issues/322612","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","320310","https://github.com/microsoft/vscode/issues/320310","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","31525","https://github.com/scikit-learn/scikit-learn/issues/31525","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","30554","https://github.com/scikit-learn/scikit-learn/issues/30554","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","31288","https://github.com/scikit-learn/scikit-learn/issues/31288","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","32748","https://github.com/scikit-learn/scikit-learn/issues/32748","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","64825","https://github.com/pandas-dev/pandas/issues/64825","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29157","https://github.com/scikit-learn/scikit-learn/issues/29157","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","66087","https://github.com/pandas-dev/pandas/issues/66087","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","34047","https://github.com/scikit-learn/scikit-learn/issues/34047","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29028","https://github.com/scikit-learn/scikit-learn/issues/29028","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"pandas","66050","https://github.com/pandas-dev/pandas/issues/66050","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322346","https://github.com/microsoft/vscode/issues/322346","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"vscode","320101","https://github.com/microsoft/vscode/issues/320101","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63167","https://github.com/pandas-dev/pandas/issues/63167","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29655","https://github.com/scikit-learn/scikit-learn/issues/29655","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33871","https://github.com/scikit-learn/scikit-learn/issues/33871","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","322826","https://github.com/microsoft/vscode/issues/322826","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320622","https://github.com/microsoft/vscode/issues/320622","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","31722","https://github.com/scikit-learn/scikit-learn/issues/31722","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65100","https://github.com/pandas-dev/pandas/issues/65100","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319000","https://github.com/microsoft/vscode/issues/319000","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","63735","https://github.com/pandas-dev/pandas/issues/63735","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","64978","https://github.com/pandas-dev/pandas/issues/64978","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65735","https://github.com/pandas-dev/pandas/issues/65735","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63630","https://github.com/pandas-dev/pandas/issues/63630","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63567","https://github.com/pandas-dev/pandas/issues/63567","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63078","https://github.com/pandas-dev/pandas/issues/63078","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63574","https://github.com/pandas-dev/pandas/issues/63574","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29595","https://github.com/scikit-learn/scikit-learn/issues/29595","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","318977","https://github.com/microsoft/vscode/issues/318977","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319244","https://github.com/microsoft/vscode/issues/319244","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320806","https://github.com/microsoft/vscode/issues/320806","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","321416","https://github.com/microsoft/vscode/issues/321416","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321761","https://github.com/microsoft/vscode/issues/321761","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33993","https://github.com/scikit-learn/scikit-learn/issues/33993","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319618","https://github.com/microsoft/vscode/issues/319618","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","63089","https://github.com/pandas-dev/pandas/issues/63089","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33757","https://github.com/scikit-learn/scikit-learn/issues/33757","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63472","https://github.com/pandas-dev/pandas/issues/63472","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","33032","https://github.com/scikit-learn/scikit-learn/issues/33032","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63830","https://github.com/pandas-dev/pandas/issues/63830","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33541","https://github.com/scikit-learn/scikit-learn/issues/33541","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33034","https://github.com/scikit-learn/scikit-learn/issues/33034","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","30371","https://github.com/scikit-learn/scikit-learn/issues/30371","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319783","https://github.com/microsoft/vscode/issues/319783","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","29679","https://github.com/scikit-learn/scikit-learn/issues/29679","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320625","https://github.com/microsoft/vscode/issues/320625","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","29019","https://github.com/scikit-learn/scikit-learn/issues/29019","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","322520","https://github.com/microsoft/vscode/issues/322520","Sufficient","Sufficient","Missing","","","","Sufficient","Sufficient","Missing","FALSE",""
"pandas","64546","https://github.com/pandas-dev/pandas/issues/64546","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319001","https://github.com/microsoft/vscode/issues/319001","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","63757","https://github.com/pandas-dev/pandas/issues/63757","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","28488","https://github.com/scikit-learn/scikit-learn/issues/28488","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","34003","https://github.com/scikit-learn/scikit-learn/issues/34003","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322943","https://github.com/microsoft/vscode/issues/322943","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63732","https://github.com/pandas-dev/pandas/issues/63732","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321778","https://github.com/microsoft/vscode/issues/321778","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","320617","https://github.com/microsoft/vscode/issues/320617","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","33355","https://github.com/scikit-learn/scikit-learn/issues/33355","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63437","https://github.com/pandas-dev/pandas/issues/63437","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320830","https://github.com/microsoft/vscode/issues/320830","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319617","https://github.com/microsoft/vscode/issues/319617","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","32036","https://github.com/scikit-learn/scikit-learn/issues/32036","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322110","https://github.com/microsoft/vscode/issues/322110","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","64123","https://github.com/pandas-dev/pandas/issues/64123","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319006","https://github.com/microsoft/vscode/issues/319006","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
